show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s606,Movie,Born to Play,,,,"June 15, 2021",2020,,93 min,"Documentaries, News","Spend a season with the Boston Renegades, a women’s semi-professional tackle football team on a path for redemption after losing the national championship the previous year."
s607,TV Show,Dance Moms,,,,"June 15, 2021",2010,TV-PG,5 Seasons,"Family, Lifestyle & Culture, Reality","Set in Pittsburgh's renowned Abby Lee Dance Company, owned and operated by notoriously demanding and passionate instructor Abby Lee Miller, Dance Moms follows children's early steps on the road to stardom, and their doting mothers who are there for every rehearsal, performance and all under the discerning eye of Miller."
s608,TV Show,Duck Dynasty,,,United States,"June 15, 2021",2012,TV-PG,1 Season,"Documentaries, Reality","Meet the Robertsons, a Louisiana bayou family living the American dream. A mom-and-pop operation, the Duck Commander business has become a sporting empire by making top-of-the-line duck calls and decoys."
s609,TV Show,Forged in Fire,,,United States,"June 15, 2021",2015,TV-PG,3 Seasons,"Documentaries, History, Reality","Forged in Fire is a competition show pitting master weapon makers against each other. Each week, four of the best blade smiths in the country will come together to put both their skills and reputations on the line."
s610,Movie,Gone Girl,,,United States,"June 15, 2021",2014,TV-MA,146 min,"Crime, Drama, Mystery","On the occasion of his fifth wedding anniversary, a magazine writer reports that his beautiful wife – famous for being the inspiration for her parents' beloved children's books – has gone missing. Presented by FXM"
s611,Movie,Her Deadly Sugar Daddy,,,,"June 15, 2021",2020,TV-14,91 min,"Horror, Thriller","After graduating from college, 21-year-old Bridget moves to a new town. Desperately needing a job to support her budding writing career, she takes a job as an Executive Assistant to business tycoon Anthony Gloss."
s612,Movie,Her Name Is Chef,,,,"June 15, 2021",2021,,99 min,Documentaries,"Her Name is Chef showcases 6 amazingly talented, inspiring, females of the kitchen. Each share their triumphs in cutting through the clichés of the restaurant industry, and explore how they broke down the doors to ‘earn’ the title of Chef."
s613,TV Show,Married at First Sight,,,United States,"June 15, 2021",2014,TV-14,7 Seasons,Reality,"In the Big City, true love is increasingly hard to achieve. But what if six brave souls, yearning for romance and a loving partnership, agree to a provocative proposal: getting married at first sight?"
s614,TV Show,Michael Smerconish: Things I Wish I Knew Before I Started Talking,,,,"June 15, 2021",2020,,1 Season,Documentaries,"Michael Smerconish celebrates his 30th year as a talk radio host in a dynamic one-man performance, recorded live during a pandemic. The result is both an intimate memoir and a unique explanation of the origin of a nation’s partisan divide."
s615,TV Show,Mountain Men,,,,"June 15, 2021",2013,TV-PG,1 Season,"News, Reality, Science & Technology","It's a race against winter for men who make their living off the land - hunting, fishing and trapping to put food on the table. For Mountain Men, survival is predicated on using ancient skills perfected over hundreds of years. Follow the lives of four American men and their families as they strive for the sustenance they need to make it through the harshest season."
s616,Movie,Nasrin,,,,"June 15, 2021",2020,,91 min,Documentaries,"Secretly filmed in Iran: an immersive portrait of courageous human rights activist and political prisoner, Nasrin Sotoudeh, and Iran’s remarkable women’s rights movement. Narrated by Olivia Colman."
s617,TV Show,The Celebrity Dating Game,,,,"June 15, 2021",2021,TV-14,1 Season,"Game Shows, Reality","Hosted by actress and singer-songwriter Zooey Deschanel and multiple Grammy-winning singer-songwriter Michael Bolton, ""The Celebrity Dating Game"" offers a wry wink at modern dating with a star-studded roster of celebrity singles from television, music, comedy, reality TV and feature film in their pursuit to find love. Offering the same iconic feel as the original classic dating show, each episode follows two celebrities who each pick one lucky suitor from a hidden panel of three bachelors and/or bachelorettes based on answers to a variety of questions. But there's a twist! The celebrity identities will remain a mystery to their suitors, who are given clues via hilarious parody song performances by host Michael Bolton."
s618,Movie,The Obituary of Tunde Johnson,,,,"June 15, 2021",2019,,104 min,"Drama, LGBTQ+, Thriller","A wealthy, Nigerian-American teen is pulled over by police, shot to death and immediately awakens, reliving the same day over and over, trapped in a terrifying time loop - forced to confront difficult truths about his life and himself."
s619,TV Show,Rūrangi,,,,"June 14, 2021",2021,,1 Season,"Documentaries, International, LGBTQ+","After skipping town a decade ago, transgender activist Caz Davis returns to the remote, politically divided dairy community of Rūrangi, hoping to reconnect with his estranged father, who hasn’t heard from him since before Caz transitioned."
s620,Movie,The Housewife and the Hustler,,,,"June 14, 2021",2021,,,Documentaries,"ABC News Originals goes inside the real-life legal drama facing the husband of ""The Real Housewives of Beverly Hills"" cast member Erika Jayne, legal titan Tom Girardi. Once considered a crusader of justice, Girardi now stands accused of embezzling from the victims he swore to protect."
